Месяц,Мсц (цифрой),Дата,Сумма,Кошелек,Направление бизнеса,[counterparty_1ef22baea0],Назначение платежа,Статья
Апрель,4,26.04.2024,"1 232,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,26.04.2024,"-4,93",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,26.04.2024,"-1 034,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,26.04.2024,"-1 999,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,26.04.2024,"-674,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,26.04.2024,"-634,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,27.04.2024,"-1 193,95",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,27.04.2024,"79 586,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,27.04.2024,"-960,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,27.04.2024,"-780,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,27.04.2024,"-15 703,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,27.04.2024,"-3 008,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,27.04.2024,"-1,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,27.04.2024,"-2 460,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,27.04.2024,"811,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,27.04.2024,"-3,24",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,27.04.2024,"25,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,27.04.2024,"-0,10",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,27.04.2024,"-341,93",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Апрель,4,27.04.2024,"-4 571,94",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Апрель,4,27.04.2024,"-692,69",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Апрель,4,28.04.2024,"-2 124,10",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,28.04.2024,"-1 226,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Возвраты клиентам
Апрель,4,28.04.2024,"141 587,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,28.04.2024,"-118,80",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-1 094,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-440,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-444,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-270,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"625,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,28.04.2024,"-2,50",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,28.04.2024,"-243,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-270,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-350,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-300,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-130,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-1 293,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-1 999,71",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-738,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,28.04.2024,"-200,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
