,31.01.24,29.02.24,31.03.24,30.04.24,31.05.24,,,,,,30.11.,31.12.,Горизонтальный анализ,,,,,Вертикальный анализ (доля в структуре баланса),,,
"Целевой коэффициент текущей ликвидности 
150-200%","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50","1,50",,,,,,,,,
Абсолютная ликвидность,,,,,,,,,,,,,,,,,,,,,
Коэффициент абсолютной ликвидности,"0,34","0,40","0,73","0,71","0,57","1,02","0,95","0,49","1,00","0,99","0,99","0,89","0,34","0,40",рост на,"0,06","0,17",,,,
"Целевой коэффициент абсолютной ликвидности 
≥ 20%","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20","0,20",,,,,,,,,
Финансовая устойчивость,,,,,,,,,,,,,,,,,,,,,
Коэффициент финансовой устойчивости,"0,78","0,76","0,81","0,81","0,80","0,80","0,82","0,83","0,82","0,77","0,81","0,83","0,78","0,76",падение на,"-0,03","-0,03",,,,
"Целевой коэффициент фин. устойчивости 
≥ 60%","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60","0,60",,,,,,,,,
Финансовая независимость,,,,,,,,,,,,,,,,,,,,,
Коэффициент финансовой независимости,"0,29","0,30","0,35","0,38","0,42","0,47","0,52","0,53","0,57","0,57","0,60","0,64","0,29","0,30",рост на,"0,01","0,04",,,,
"Целевой коэффициент фин. независимости
не менее 40% (оптимальное 50% – 70%)","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40","0,40",,,,,,,,,
Рентабельность собственного капитала,,,,,,,,,,,,,,,,,,,,,
Рентабельность месячная ROE,5%,24%,29%,10%,26%,23%,15%,6%,14%,12%,6%,13%,5%,24%,рост на,18%,356%,,,,
Рентабельность целевая ROE,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,,,,,,,,,
Рентабельность Активов по чистой прибыли,,,,,,,,,,,,,,,,,,,,,
Рентабельность активов месячная,"1,39%","6,86%","10,26%","3,93%","10,87%","10,82%","7,64%","3,46%","8,02%","6,66%","4,02%","9,15%","1,39%","6,86%",рост на,"5,47%",393%,,,,
Рентабельность активов целевая,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,,,,,
