dish_name,period_start,period_end,dish_group_top,dish_category,orders,dish_amount,revenue,gross_sum,product_cost,food_cost_share_calc,gross_margin_calc,gross_margin_share_calc,product_profit_api,avg_check
Морс клюква,2025-11-01,2026-05-17,Напитки,Напитки,74.0,96.0,12928.6,16200.0,4441.2699999999995,0.3435228872422381,8487.330000000002,0.656477112757762,8487.33,174.7108108108108
Фарерский,2025-11-01,2026-05-17,Роллы,Роллы,40.0,40.0,12810.069999999998,14865.0,4670.04,0.3645600687584065,8140.029999999998,0.6354399312415935,8140.029999999999,320.25174999999996
Калифорния с угрём,2025-11-01,2026-05-17,Роллы,Роллы,33.0,34.0,12524.33,13795.0,5021.0,0.4008996888456309,7503.33,0.5991003111543691,7503.329999999999,379.5251515151515
Мидии лосось,2025-11-01,2026-05-17,Роллы,Роллы,36.0,37.0,12493.89,15000.0,4484.919999999999,0.3589690640785215,8008.97,0.6410309359214784,8008.969999999999,347.0525
Лава угорь,2025-11-01,2026-05-17,Роллы,Роллы,30.0,31.0,12484.49,13487.0,3235.13,0.2591319308998606,9249.36,0.7408680691001395,9249.36,416.14966666666663
Калифорния с цыпленком,2025-11-01,2026-05-17,Роллы,Роллы,47.0,50.0,12469.31,15286.0,3926.0299999999997,0.31485543305924707,8543.279999999999,0.6851445669407529,8543.279999999999,265.30446808510635
Кацу,2025-11-01,2026-05-17,Роллы,Роллы,46.0,48.0,12051.93,15540.0,3701.57,0.30713503978201,8350.36,0.69286496021799,8350.36,261.99847826086955
Изуми эсколар,2025-11-01,2026-05-17,Роллы,Роллы,44.0,45.0,11702.349999999999,13629.0,2971.5,0.25392335727439364,8730.849999999999,0.7460766427256064,8730.85,265.9625
Новый город,2025-11-01,2026-05-17,Доставка,(пусто),982.0,982.0,11653.65,107990.0,0.0,0.0,11653.65,1.0,11653.65,11.867260692464358
Салями,2025-11-01,2026-05-17,Пицца,Пицца,18.0,19.0,11493.83,16051.0,3818.120000000001,0.3321886612208464,7675.709999999999,0.6678113387791537,7675.710000000001,638.5461111111111
Картофель фри,2025-11-01,2026-05-17,Добавки в шаурму,Шаурма,363.0,450.0,11458.189999999999,13500.0,2413.586666666667,0.2106429258605999,9044.603333333333,0.7893570741394001,9044.603333333333,31.565261707988977
Огненный жемчуг,2025-11-01,2026-05-17,Роллы,Роллы,28.0,28.0,11234.05,12924.0,3539.2800000000007,0.31504933661502316,7694.769999999999,0.6849506633849769,7694.7699999999995,401.2160714285714
Айдахо,2025-11-01,2026-05-17,Роллы,Роллы,25.0,25.0,11192.69,13461.0,3664.03,0.3273591960467055,7528.66,0.6726408039532945,7528.660000000001,447.7076
Вайт чикен,2025-11-01,2026-05-17,Роллы,Роллы,33.0,49.0,10961.93,18253.0,3097.3499999999995,0.2825551704854893,7864.580000000001,0.7174448295145107,7864.580000000001,332.179696969697
Якимото,2025-11-01,2026-05-17,Роллы,Роллы,33.0,33.0,10948.409999999998,11740.0,3013.34,0.2752308326049171,7935.069999999998,0.7247691673950829,7935.069999999999,331.7699999999999
Фудзивара,2025-11-01,2026-05-17,Роллы,Роллы,21.0,21.0,10896.29,17369.0,5265.05,0.48319657424683077,5631.240000000001,0.5168034257531692,5631.24,518.8709523809524
Классический с чукой,2025-11-01,2026-05-17,Роллы,Роллы,86.0,87.0,10817.58,13195.0,2372.71,0.2193383363007253,8444.869999999999,0.7806616636992746,8444.87,125.78581395348837
Классический с крабом,2025-11-01,2026-05-17,Роллы,Роллы,68.0,68.0,10364.66,12702.0,3375.7099999999996,0.325694234060741,6988.950000000001,0.6743057659392591,6988.95,152.42147058823528
Креветка манго,2025-11-01,2026-05-17,Роллы,Роллы,26.0,26.0,9953.77,13522.0,3470.57,0.34866889630763015,6483.200000000001,0.6513311036923699,6483.2,382.8373076923077
Прайм эсколар,2025-11-01,2026-05-17,Роллы,Роллы,34.0,35.0,9646.39,11620.0,3357.99,0.34810846337334483,6288.4,0.6518915366266551,6288.400000000001,283.71735294117644
Бонито,2025-11-01,2026-05-17,Роллы,Роллы,28.0,28.0,9546.470000000001,10210.0,2831.96,0.2966499659036272,6714.510000000001,0.7033500340963729,6714.51,340.9453571428572
Старый город сред. 120р,2025-11-01,2026-05-17,Доставка,(пусто),195.0,209.0,9424.78,26310.0,0.0,0.0,9424.78,1.0,9424.78,48.33220512820513
Моцарелла и чеддер,2025-11-01,2026-05-17,Добавки в шаурму,Шаурма,159.0,204.0,8852.92,10200.0,2918.5450000000005,0.32967032346389674,5934.375,0.6703296765361033,5934.375,55.67874213836478
Микадо,2025-11-01,2026-05-17,Роллы,Роллы,33.0,34.0,8675.66,11486.0,2630.6399999999994,0.30322073479135875,6045.02,0.6967792652086412,6045.02,262.89878787878786
Добрый Апельсин,2025-11-01,2026-05-17,Напитки,(пусто),118.0,130.0,8653.060000000001,16421.0,6535.580000000001,0.7552911917864894,2117.4800000000005,0.24470880821351063,2117.48,73.33101694915256
Мидии том ям,2025-11-01,2026-05-17,Роллы,Роллы,26.0,26.0,8353.23,10885.0,2786.98,0.3336409987513812,5566.25,0.6663590012486188,5566.25,321.2780769230769
Хикару,2025-11-01,2026-05-17,Роллы,Роллы,24.0,24.0,8154.6900000000005,9735.0,2502.5,0.3068786183165761,5652.1900000000005,0.693121381683424,5652.1900000000005,339.77875
Мидии темпура,2025-11-01,2026-05-17,Роллы,Роллы,33.0,34.0,7902.41,9085.0,1902.77,0.24078350781597008,5999.639999999999,0.7592164921840299,5999.64,239.4669696969697
Соус красно-острый,2025-11-01,2026-05-17,Соусы,Все блюда,72.0,79.0,7801.14,9960.0,1482.3800000000003,0.19002094565666047,6318.76,0.8099790543433396,6318.76,108.34916666666668
