,,,,,,,,,
Контрагент,Статья,Номер счета,Сумма план,Дата планируемой оплаты,Комментарий,,Год план,Месяц план,Номер недели план
[counterparty_hash:9d002889b3],Зарплата административного персонала,,"р.54 000,00",2024-02-02,,,2024,2,
[counterparty_hash:913fe52b19],Дивиденды,,"р.40 000,00",2024-02-12,,,2024,2,
[counterparty_hash:9d002889b3],Дивиденды,,"р.40 000,00",2024-02-12,,,2024,2,
[counterparty_hash:2d609b655e],Контекстная реклама,,"р.80 000,00",2024-02-28,,,2024,2,
[counterparty_hash:2d609b655e],SEO-оптимизация,,"р.27 000,00",2024-02-28,,,2024,2,
[counterparty_hash:0d03ab834a],Листовки,,"р.35 000,00",2024-02-07,,,2024,2,
[counterparty_hash:675b5b0637],Листовки,,"р.25 000,00",2024-02-14,,,2024,2,
[counterparty_hash:0d03ab834a],Печатные материалы,,"р.15 000,00",13.02.24,[private_text_hash:5f2a8e4da9],,2024,2,
[counterparty_hash:168e057bae],Услуги ФД и НК,,"р.75 000,00",28.02.24,,,2024,2,
[counterparty_hash:7518be4ba8],Содержание торговых точек,,"р.5 000,00",07.02.24,,,2024,2,
[counterparty_hash:7518be4ba8],Содержание торговых точек,,"р.25 000,00",14.2.2024,,,2024,2,
[counterparty_hash:7518be4ba8],Содержание торговых точек,,"р.5 000,00",21.2.2024,,,2024,2,
[counterparty_hash:7518be4ba8],Содержание торговых точек,,"р.12 000,00",1.3.2024,,,2024,3,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.5 000,00",8.2.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.5 000,00",15.2.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.5 000,00",22.2.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.5 000,00",29.2.2024,,,2024,2,
[counterparty_hash:810942d5fa],Телекоммуникации,,"р.5 000,00",7.2.2024,,,2024,2,
[counterparty_hash:810942d5fa],Телекоммуникации,,"р.5 000,00",21.2.2024,,,2024,2,
[counterparty_hash:810942d5fa],Телекоммуникации,,"р.5 000,00",1.3.2024,,,2024,3,
[counterparty_hash:4e9e5a80a9],Сайт и приложение,,"р.81 500,00",7.2.2024,,,2024,2,
[counterparty_hash:48d0f61ee3],Аренда торговых точек,,"р.112 000,00",12.2.2024,,,2024,2,
[counterparty_hash:48d0f61ee3],Аренда торговых точек,,"р.70 000,00",23.2.2024,,,2024,2,
[counterparty_hash:48d0f61ee3],Аренда торговых точек,,"р.100 000,00",28.2.2024,,,2024,2,
[counterparty_hash:48d0f61ee3],Аренда склада,,"р.4 000,00",28.2.2024,,,2024,2,
[counterparty_hash:e0e7137bcf],Оплата поставщикам ,,"р.3 000,00",8.2.2024,,,2024,2,
[counterparty_hash:e0e7137bcf],Оплата поставщикам ,,"р.3 000,00",15.2.2024,,,2024,2,
[counterparty_hash:e0e7137bcf],Оплата поставщикам ,,"р.3 000,00",22.2.2024,,,2024,2,
[counterparty_hash:e0e7137bcf],Оплата поставщикам ,,"р.3 000,00",29.2.2024,,,2024,2,
[counterparty_hash:e0e7137bcf],Транспортные услуги,,"р.2 000,00",09.02.2024,,,2024,2,
[counterparty_hash:e0e7137bcf],Транспортные услуги,,"р.2 000,00",16.2.2024,,,2024,2,
[counterparty_hash:e0e7137bcf],Транспортные услуги,,"р.2 000,00",23.2.2024,,,2024,2,
[counterparty_hash:e0e7137bcf],Транспортные услуги,,"р.2 000,00",1.3.2024,,,2024,3,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.8 000,00",9.2.2024,,,2024,2,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.8 000,00",16.2.2024,,,2024,2,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.9 000,00",23.2.2024,,,2024,2,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.8 000,00",29.2.2024,,,2024,2,
[counterparty_hash:a079b1ede6],РКО,,"р.6 000,00",23.2.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.80 000,00",08.02.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.80 000,00",15.02.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.90 000,00",22.2.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.80 000,00",29.2.2024,,,2024,2,
[counterparty_hash:a079b1ede6],Оплаты по кредитам и займам,,"р.45 000,00",16.2.2024,,,2024,2,
[counterparty_hash:856bc7fd96],Зарплата административного персонала,,"р.37 500,00",27.2.2024,,,2024,2,
[counterparty_hash:a079b1ede6],Погашение овердрафта,,65 344,2.2.2024,,,2024,2,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.134 120,00",4.3.2024,,,2024,3,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.32 800,00",4.3.2024,,,2024,3,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.65 200,00",4.3.2024,,,2024,3,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.32 067,00",4.3.2024,,,2024,3,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.41 172,00",4.3.2024,,,2024,3,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.28 404,00",4.3.2024,,,2024,3,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.3 163,00",4.3.2024,,,2024,3,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.10 000,00",4.3.2024,,,2024,3,
[counterparty_hash:e0e7137bcf],Оплата поставщикам ,,"р.2 000,00",4.3.2024,,,2024,3,
[counterparty_hash:2a84eb0be0],Оплата поставщикам ,,"р.80 000,00",4.3.2024,,,2024,3,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.121 700,00",8.3.2024,,,2024,3,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.31 100,00",8.3.2024,,,2024,3,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.90 000,00",8.3.2024,,,2024,3,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.31 200,00",8.3.2024,,,2024,3,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.22 400,00",8.3.2024,,,2024,3,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.30 000,00",8.3.2024,,,2024,3,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.5 000,00",8.3.2024,,,2024,3,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.10 000,00",8.3.2024,,,2024,3,
[counterparty_hash:e0e7137bcf],Оплата поставщикам ,,"р.2 000,00",8.3.2024,,,2024,3,
[counterparty_hash:2a84eb0be0],Оплата поставщикам ,,"р.80 000,00",8.3.2024,,,2024,3,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.80 000,00",14.3.2024,,,2024,3,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.30 000,00",14.3.2024,,,2024,3,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.100 000,00",14.3.2024,,,2024,3,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.35 000,00",14.3.2024,,,2024,3,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.50 000,00",14.3.2024,,,2024,3,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.30 000,00",14.3.2024,,,2024,3,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.5 000,00",14.3.2024,,,2024,3,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.10 000,00",14.3.2024,,,2024,3,
[counterparty_hash:e0e7137bcf],Оплата поставщикам ,,"р.2 000,00",14.3.2024,,,2024,3,
[counterparty_hash:2a84eb0be0],Оплата поставщикам ,,"р.60 000,00",14.3.2024,,,2024,3,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.90 000,00",7.3.2024,,,2024,3,
[counterparty_hash:856bc7fd96],Курьерская служба -,,"р.75 000,00",14.3.2024,,,2024,3,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.10 000,00",7.3.2024,,,2024,3,
[counterparty_hash:a079b1ede6],Эквайринг,,"р.9 000,00",13.3.2024,,,2024,3,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.150 000,00",7.3.2024,,,2024,3,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.200 000,00",12.3.2024,,,2024,3,
[counterparty_hash:a079b1ede6],Оплаты по кредитам и займам,,"р.18 500,00",4.3.2024,,,2024,3,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.6 000,00",5.3.2024,,,2024,3,
[counterparty_hash:856bc7fd96],Расходы на питание персонала,,"р.6 000,00",12.3.2024,,,2024,3,
[counterparty_hash:810942d5fa],Телекоммуникации,,"р.5 000,00",13.3.2024,,,2024,3,
[counterparty_hash:2a84eb0be0],Содержание торговых точек,,"р.5 000,00",6.3.2024,,,2024,3,
[counterparty_hash:856bc7fd96],Содержание торговых точек,,"р.20 000,00",3/14/2024,,,2024,3,
[counterparty_hash:2a84eb0be0],Содержание торговых точек,,"р.5 000,00",14.3.2024,,,2024,3,
[counterparty_hash:48d0f61ee3],Аренда торговых точек,,"р.85 000,00",12.03.2024,,,2024,3,
[counterparty_hash:913fe52b19],Дивиденды,,"р.55 000,00",12.03.2024,,,2024,3,
[counterparty_hash:9d002889b3],Дивиденды,,"р.55 000,00",12.03.2024,,,2024,3,
