dish,category,band,verdict,units_standalone,recent3_units,units_inset,set_phantom,in_sets_units,n_sets,revenue,margin,margin_pct,months_active
Цезарь,пицца,>10/мес,Оставить,379,179,0,4361,4361,9,202700,144362,71.2,7
Терияки,дополнительно,>10/мес,Оставить,395,140,0,460,460,1,14423,10632,73.7,7
Филадельфия лайт,роллы,>10/мес,Оставить,396,146,0,335,335,2,138616,81891,59.1,7
Классический с креветкой,роллы,>10/мес,Оставить,397,146,0,0,0,0,64050,41828,65.3,7
Эби фрай,закуски,>10/мес,Оставить,460,157,0,0,0,0,169340,119535,70.6,7
Цыпленок гриль,пицца,>10/мес,Оставить,484,198,0,0,0,0,234682,165067,70.3,7
Chiken Kids,пицца,>10/мес,Оставить,559,200,0,0,0,0,267413,186086,69.6,7
Шаурма сырная,шаурма,>10/мес,Оставить,640,210,0,0,0,0,207013,141392,68.3,7
Спайси соус,дополнительно,>10/мес,Оставить,693,228,0,0,0,0,27298,19705,72.2,7
Соус сырный Heinz,соусы,>10/мес,Оставить,846,229,0,0,0,0,32153,21887,68.1,7
Лава с креветкой,роллы,>10/мес,Оставить,1003,352,0,519,519,2,262253,179737,68.5,7
Камчатский,роллы,>10/мес,Оставить,1014,347,0,2682,2682,9,278146,228775,82.3,7
Шаурма классическая,шаурма,>10/мес,Оставить,1338,481,0,0,0,0,369907,238134,64.4,7
Соус сырно-чесночный,соусы,>10/мес,Оставить,1602,582,0,0,0,0,182882,150606,82.4,7
Пикник,пицца,>10/мес,Оставить,2184,792,0,0,0,0,976190,660404,67.7,7
Наггетсы,закуски,>10/мес,Оставить,2216,840,0,0,0,0,405948,290773,71.6,7
Картофель фри,закуски,>10/мес,Оставить,3927,1640,410,0,410,8,567475,407395,71.8,7
Палочки,—,>10/мес,Оставить,16332,5625,0,0,0,0,50386,21707,43.1,7
