dish,top_group,group,me_class,verdict,units_standalone,units_inset_line,set_phantom_units,effective_units,n_sets,sets_structural,sets_behavioral,revenue_standalone,margin_standalone_est,margin_pct,recent3_units,months_active,orders,verdict_reason
Калифорния с лососем терияки,Роллы,Калифорния,Собака,Оставить — несёт сеты,23,0,171,194,2,2,0,6974,5010,71.8,14,6,22,"в рознице слабо (23 шт), но проникновение в сеты: +171 шт, 2 сет(ов)"
Шаурма с креветкой,Шаурма,Шаурма,Звезда,Оставить,192,0,0,192,0,0,0,92902,62700,67.5,84,7,162,нормальная проходимость в рознице
Мидии запеченные под соусом спайси,Закуски,Закуски,Звезда,Оставить,191,0,0,191,0,0,0,61823,41331,66.9,94,7,186,нормальная проходимость в рознице
Широкий с креветкой,Роллы,Запеченные,Звезда,Оставить,189,0,0,189,0,0,0,62174,43863,70.5,90,7,184,нормальная проходимость в рознице
Итодори,Роллы,Жареные,Звезда,Оставить,138,0,49,187,1,1,0,43182,32194,74.6,58,7,134,нормальная проходимость в рознице
4 сыра,Пицца,Пицца,Звезда,Оставить,185,0,0,185,0,0,0,140486,101774,72.4,76,7,180,нормальная проходимость в рознице
Унаги Чиз,Роллы,Запеченные,Собака,Оставить,64,0,118,182,1,1,0,24448,17209,70.4,28,6,63,нормальная проходимость в рознице
Мидии запеченные под соусом яки,Закуски,Закуски,Звезда,Оставить,175,0,0,175,0,0,0,57643,38585,66.9,81,7,169,нормальная проходимость в рознице
Мини Мясная,Пицца,Пицца,Звезда,Оставить,175,0,0,175,0,0,0,97988,68115,69.5,81,7,166,нормальная проходимость в рознице
Мясная,Пицца,Пицца,Звезда,Оставить,172,0,0,172,0,0,0,158285,114878,72.6,85,7,161,нормальная проходимость в рознице
Морская,Пицца,Пицца,Звезда,Оставить,169,0,0,169,0,0,0,154379,96200,62.3,84,7,165,нормальная проходимость в рознице
Деревенская,Пицца,Пицца,Звезда,Оставить,168,0,0,168,0,0,0,111353,83272,74.8,79,7,162,нормальная проходимость в рознице
