№,Наименование,Инв. № ,Кол-во ОС,Цена ед.,Ответственный,Помещение,Тип ОС,Дата введения ,Месяц введения в эксплуатацию,Дата покупки или постановки,Месяц покупки,Текущая стоимость,Срок полезного использования (лет),Срок полезного использования (месяц),Переоценка ОС,Сумма,дата переоценки,Месяц переоценки,Дата продажи,Месяц продажи,цена продажи,Количество Проданных ОС,1,2,3,4,5,6,7,8,9,10,11,12,Оставшийся срок ПИ,Оставшаяся стоимость,Прибыль/убыток от продажи,1,2,3,4,5,6,7,8,9,10,11,12,Год покупки,Сумма проданного
36,Стелаж 220х106х60,,"3,00",8 775,Технический директор,Склад Гагарина,Вспомогательное оборудование,01.01.2025,1,21.12.2020,12,26 325,10,117,,0,,0,,0,,,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,105,23 625,0,26 100,25 875,25 650,25 425,25 200,24 975,24 750,24 525,24 300,24 075,23 850,23 625,,
37,Зонт вытяжной CK00 Новый,,"1,00",24 679,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,24.10.2023,10,24 679,13,154,,0,,0,,0,,,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,-160,142,22 756,0,24 519,24 358,24 198,24 038,23 878,23 717,23 557,23 397,23 237,23 076,22 916,22 756,,
38,Сплит система Берлингтон BR-18CST1/IN,,"1,00",39 048,Технический директор,ТЗ Гагарина,Системы кондиционирования,01.01.2025,1,08.05.2023,5,39 048,7,82,,0,,0,,0,,,-476,-476,-476,-476,-476,-476,-476,-476,-476,-476,-476,-476,70,33 334,0,38 572,38 096,37 619,37 143,36 667,36 191,35 715,35 238,34 762,34 286,33 810,33 334,,
39,Кастрюля 10л,,"2,00",4 750,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,21.12.2020,12,9 500,5,57,,0,,0,,0,,,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,45,7 500,0,9 333,9 167,9 000,8 833,8 667,8 500,8 333,8 167,8 000,7 833,7 667,7 500,,
40,Плита индукционная Airhot IP3500 (Лениградская),,"1,00",0,Технический директор,ТЗ Гагарина,Тепловое оборудование,01.01.2025,1,16.03.2020,3,0,4,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Плита индукционная Airhot IP3500 (Гагарина),,"1,00",7 500,Технический директор,ТЗ Гагарина,Тепловое оборудование,01.01.2025,1,21.12.2020,12,7 500,4,45,,0,,0,,0,,,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,-167,33,5 500,0,7 333,7 167,7 000,6 833,6 667,6 500,6 333,6 167,6 000,5 833,5 667,5 500,,
42,Холодильный шкаф Polair CN105S (Не работает),,"1,00",10 000,Технический директор,Склад Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,10.03.2020,3,10 000,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10 000,0,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,,
43,ПОС терминал Атол Оптима,,"1,00",13 750,Технический директор,ТЗ Гагарина,Оборудование торговых залов,01.01.2025,1,05.03.2022,3,13 750,3,33,,0,,0,,0,,,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,21,8 750,0,13 333,12 917,12 500,12 083,11 667,11 250,10 833,10 417,10 000,9 583,9 167,8 750,,
44,IP телефон Gigaset C530A с базой,,"1,00",8 438,Технический директор,ТЗ Гагарина,Оборудование торговых залов,01.01.2025,1,21.12.2020,12,8 438,4,45,,0,,0,,0,,,-188,-188,-188,-188,-188,-188,-188,-188,-188,-188,-188,-188,33,6 188,0,8 250,8 063,7 875,7 688,7 500,7 313,7 125,6 938,6 750,6 563,6 375,6 188,,
45,Телефон Samsung Galaxy A7,,"1,00",1 750,Технический директор,ТЗ Гагарина,Оборудование торговых залов,01.01.2025,1,21.12.2020,12,1 750,2,21,,0,,0,,0,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,9,750,0,1 667,1 583,1 500,1 417,1 333,1 250,1 167,1 083,1 000,917,833,750,,
46,ФН 36 мес,,"1,00",0,Технический директор,ТЗ Гагарина,Кассовое оборудование,01.01.2025,1,21.12.2020,12,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
47,ФР Атол 25Ф,,"1,00",41 125,Технический директор,ТЗ Гагарина,Кассовое оборудование,01.01.2025,1,21.12.2020,12,41 125,12,141,,0,,0,,0,,,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,-292,129,37 625,0,40 833,40 542,40 250,39 958,39 667,39 375,39 083,38 792,38 500,38 208,37 917,37 625,,
48,Денежный ящик Форт,,"1,00",2 438,Технический директор,ТЗ Гагарина,Кассовое оборудование,01.01.2025,1,21.12.2020,12,2 438,10,117,,0,,0,,0,,,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,105,2 188,0,2 417,2 396,2 375,2 355,2 334,2 313,2 292,2 271,2 250,2 230,2 209,2 188,,
49,Принтер для чеков Atol RP-326-USE,,"2,00",4 875,Технический директор,ТЗ Гагарина,Кассовое оборудование,01.01.2025,1,21.12.2020,12,9 750,10,117,,0,,0,,0,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,105,8 750,0,9 667,9 583,9 500,9 417,9 333,9 250,9 167,9 083,9 000,8 917,8 833,8 750,,
50,Портативная колонка SVEN PS-250BL,,"1,00",0,Технический директор,ТЗ Гагарина,Оборудование торговых залов,01.01.2025,1,14.09.2022,9,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,Стол для зала ,,"1,00",6 825,Технический директор,ТЗ Гагарина,Мебель и предметы интерьера,01.01.2025,1,21.12.2020,12,6 825,10,117,,0,,0,,0,,,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,105,6 125,0,6 767,6 708,6 650,6 592,6 533,6 475,6 417,6 358,6 300,6 242,6 183,6 125,,
52,Стол для зала ,,"1,00",6 825,Технический директор,Склад (гараж),Мебель и предметы интерьера,01.01.2025,1,22.12.2020,12,6 825,10,117,,0,,0,,0,,,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,105,6 125,0,6 767,6 708,6 650,6 592,6 533,6 475,6 417,6 358,6 300,6 242,6 183,6 125,,
53,Барная стойка с пристройкой,,"1,00",19 250,Технический директор,ТЗ Гагарина,Мебель и предметы интерьера,01.01.2025,1,21.12.2020,12,19 250,2,21,,0,,0,,0,,,-917,-917,-917,-917,-917,-917,-917,-917,-917,-917,-917,-917,9,8 250,0,18 333,17 417,16 500,15 583,14 667,13 750,12 833,11 917,11 000,10 083,9 167,8 250,,
54,Стойка для сумок,,"1,00",4 875,Технический директор,ТЗ Гагарина,Мебель и предметы интерьера,01.01.2025,1,21.12.2020,12,4 875,10,117,,0,,0,,0,,,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,105,4 375,0,4 833,4 792,4 750,4 708,4 667,4 625,4 583,4 542,4 500,4 458,4 417,4 375,,
55,Стулья барные металические ,,"3,00",2 925,Технический директор,ТЗ Гагарина,Мебель и предметы интерьера,01.01.2025,1,21.12.2020,12,8 775,10,117,,0,,0,,0,,,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,105,7 875,0,8 700,8 625,8 550,8 475,8 400,8 325,8 250,8 175,8 100,8 025,7 950,7 875,,
56,Стулья барные металические ,,"7,00",2 925,Технический директор,Склад (гараж),Мебель и предметы интерьера,01.01.2025,1,22.12.2020,12,20 475,10,117,,0,,0,,0,,,-175,-175,-175,-175,-175,-175,-175,-175,-175,-175,-175,-175,105,18 375,0,20 300,20 125,19 950,19 775,19 600,19 425,19 250,19 075,18 900,18 725,18 550,18 375,,
57,Рисоварка Индакор IR-1954,,"2,00",8 250,Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,08.05.2023,5,16 500,2,22,,0,,0,,0,,,-750,-750,-750,-750,-750,-750,-750,-750,-750,-750,-750,-750,10,7 500,0,15 750,15 000,14 250,13 500,12 750,12 000,11 250,10 500,9 750,9 000,8 250,7 500,,
58,Кондиционер Balu BSW/in-12HN1_23Y,,"1,00","31 000,00 ₽",Технический директор,Ф-л Черникова,Системы кондиционирования,01.01.2025,1,18.07.2022,7,31 000,8,93,,0,,0,,0,,,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,-333,81,27 000,0,30 667,30 333,30 000,29 667,29 333,29 000,28 667,28 333,28 000,27 667,27 333,27 000,,
59,ПОС терминал SAM4S SPT-S260,,"1,00","50 792,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,08.05.2023,5,50 792,4,46,,0,,0,,0,,,-1 104,-1 104,-1 104,-1 104,-1 104,-1 104,-1 104,-1 104,-1 104,-1 104,-1 104,-1 104,34,37 542,0,49 688,48 584,47 479,46 375,45 271,44 167,43 063,41 959,40 854,39 750,38 646,37 542,,
60,ФН 36 мес,,"1,00","0,00 ₽",Технический директор,Ф-л Черникова,Кассовое оборудование,01.01.2025,1,08.05.2023,5,0,3,36,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
