 Регистрация категорий,,,,,Особоые условия по депозитам (Для внештатников проставь НУЛИ),,,,Выдача депозитов,,,,Регистрация вступления в должность старших поваров,,,,Регистрация штрафов и премий,,,,
Дата постановки на категорию,Имя сотрудника,Должность,Категория,,Имя сотрудника,Требуемый депозит (указать при особых условиях),Сумма удержания (указать при особых условиях),,Имя сотрудника,Депозит при уволнении,Коэффициент выдачи ,,Дата вступления в должность,Имя сотрудника,Надбавка,,Дата,Имя сотрудника,Сумма,Вид начисления/списания,[redacted_comment]
20.03.2025,employee_1af5d335a2,Сушист,5,,,,,,,,,,,,,,10.06.2025,employee_3fa5f3a2b5,30,Штрафы и удержания,[redacted_comment]
30.03.2025,employee_b20c9e8ecf,Сушист,3,,,,,,,,,,,,,,15.06.,employee_3c4a629691,165,Штрафы и удержания,[redacted_comment]
16.04.2025,employee_1af5d335a2,Сушист,3,,,,,,,,,,,,,,16.06.2025,employee_abf859686b,500,Премия,[redacted_comment]
06.05.2025,employee_abf859686b,Сушист,2,,,,,,,,,,,,,,16.06.2025,employee_65a7591211,500,Премия,[redacted_comment]
10.05.2025,employee_445cbb2a20,Шаурмист,4,,,,,,,,,,,,,,10.06.2025,employee_e2dfd4294b,2000,Премия,[redacted_comment]
21.05.2025,employee_abf859686b,Сушист,1,,,,,,,,,,,,,,17.06.2025,employee_7448260c20,500,Премия,[redacted_comment]
24.05.2025,employee_e8704c7b8f,Пиццерист,5,,,,,,,,,,,,,,17.06.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
27.05.2025,employee_445cbb2a20,Сушист,5,,,,,,,,,,,,,,19.06.2025,employee_7448260c20,877,Удержание НДФЛ,[redacted_comment]
01.06.2025,employee_a321587054,Сушист,6,,,,,,,,,,,,,,07.07.2025,employee_7448260c20,1755,Удержание НДФЛ,[redacted_comment]
01.06.2025,employee_dfa826d51c,Сушист,6,,,,,,,,,,,,,,18.06.2025,employee_abf859686b,500,Премия,[redacted_comment]
6/9/2025,employee_e2dfd4294b,Администратор,4,,,,,,,,,,,,,,18.06.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
6/13/2025,employee_65a7591211,Пиццерист,2,,,,,,,,,,,,,,19.06.2025,employee_9747b9d844,500,Премия,[redacted_comment]
6/13/2025,employee_65a7591211,Сушист,2,,,,,,,,,,,,,,20.06.2025,employee_8b0eb48cc4,500,Премия,[redacted_comment]
6/18/2025,employee_445cbb2a20,Шаурмист,3,,,,,,,,,,,,,,20.06.2025,employee_3c4a629691,800,Премия,[redacted_comment]
19.06.2025,employee_3d6ad4e01f,Пиццерист,5,,,,,,,,,,,,,,21.06.2025,employee_3c4a629691,500,Премия,[redacted_comment]
02.07.2025,employee_445cbb2a20,Сушист,3,,,,,,,,,,,,,,23.06.2025,employee_7448260c20,300,Премия,[redacted_comment]
02.07.2025,employee_2dcfa0649d,Администратор,2,,,,,,,,,,,,,,23.06.2025,employee_908545f9b4,300,Премия,[redacted_comment]
