sheet_name,cell,formula,formula_type,shared_ref
Штат,D8,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A8&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1, ""&""2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A8&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        ""&""1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K8,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J8="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J8),1,1),1,1))""),1.0)",,
Штат,L8,"IF(J8="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J8)+SUMIF('Исходные данные'!$AA$3:$AA937,J8,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J8))",,
Штат,O8,,shared,
Штат,C9,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A9,'Категории и надбавки'!C:C=B9),1,FALSE),1,4),"""""""")""),1.0)",,
Штат,D9,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A9&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1, ""&""2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A9&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        ""&""1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K9,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J9="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J9),1,1),1,1))""),6.0)",,
Штат,L9,"IF(J9="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J9)+SUMIF('Исходные данные'!$AA$3:$AA937,J9,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J9))",,
Штат,O9,,shared,
Штат,C10,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A10,'Категории и надбавки'!C:C=B10),1,FALSE),1,4),"""""""")""),3.0)",,
Штат,D10,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A10&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1,""&"" 2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A10&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
      ""&""  1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K10,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J10="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J10),1,1),1,1))""),6.0)",,
Штат,L10,"IF(J10="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J10)+SUMIF('Исходные данные'!$AA$3:$AA937,J10,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J10))",,
Штат,O10,,shared,
Штат,C11,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A11,'Категории и надбавки'!C:C=B11),1,FALSE),1,4),"""""""")""),1.0)",,
Штат,D11,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A11&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1,""&"" 2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A11&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
      ""&""  1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),""Зам"")",,
Штат,K11,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J11="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J11),1,1),1,1))""),2.0)",,
Штат,L11,"IF(J11="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J11)+SUMIF('Исходные данные'!$AA$3:$AA937,J11,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J11))",,
Штат,C12,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A12,'Категории и надбавки'!C:C=B12),1,FALSE),1,4),"""""""")""),5.0)",,
Штат,D12,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A12&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1,""&"" 2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A12&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
      ""&""  1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K12,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J12="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J12),1,1),1,1))""),3.0)",,
Штат,L12,"IF(J12="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J12)+SUMIF('Исходные данные'!$AA$3:$AA937,J12,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J12))",,
Штат,O12,"IF(M12=L12,"""",IF(M12>L12,N12,""Избыток""))",shared,O12:O35
Штат,C13,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A13,'Категории и надбавки'!C:C=B13),1,FALSE),1,4),"""""""")""),6.0)",,
Штат,D13,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A13&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1,""&"" 2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A13&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
      ""&""  1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K13,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J13="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J13),1,1),1,1))""),3.0)",,
Штат,L13,"IF(J13="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J13)+SUMIF('Исходные данные'!$AA$3:$AA937,J13,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J13))",,
Штат,O13,,shared,
Штат,C14,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A14,'Категории и надбавки'!C:C=B14),1,FALSE),1,4),"""""""")""),6.0)",,
